Thema:	,Name:		,Beschreibung:	, Art.-Nr.:	,EAN:		,Anzahl VE:	,Summe gesamt:
AL-Prof	,Leandro	,Winkel-Set	,4952600294	,4056807475349	,5x		,50x
	,		,Nutensteine	,4952600277	,4056807473512	,1x		,100x

Leitung	,Leandro	,FLRY 4mm2  BK	,0770110	,4045989213061	,1x		,25m
	,		,FLRY 4mm2  BN	,07701109	,4011231766234	,1x		,25m
	,		,FLRY 4mm2  YE	,077011000	,4045989213085	,1x		,25m
	,		,FLRY 4mm2  RD	,07701100	,4045989213078	,1x		,25m
	,		,FLRY .5mm2 BUWH,077005058	,4048539197453	,1x		,100m
	,		,FLRY .5mm2 BURD,077005060	,4048539197446	,1x		,100m
	,		,FLRY .5mm2 BKRD,077005055	,4048539197354	,1x		,100m
	,		,FLRY .5mm2 BKWH,077005054	,4048539197392	,1x		,100m

Hülsen	,Leandro	,Crimpzange	,0714107195	,4065746753777	,1x		,1x
	,		,Abiso-Zange	,0714108016	,4062856817894	,1x		,1x
	,		,4mm2 10mm GY	,0557300401	,4011231463300	,1x		,100x
	,		,.5mm2 6mm WH	, 0557300051	,4011231462761	,1x		,500x




